,SPUS Value,SPUS Momentum,SPUS Quality,SPUS Low Beta,SPUS Ptf,SPUS Bench
const,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
Mkt-RF,1.152,1.05,1.017,0.795,0.992,1.01
SMB,-0.026,0.109,-0.022,-0.164,-0.011,-0.067
HML,0.218,-0.039,0.016,-0.04,0.068,-0.013
Mom   ,-0.25,0.474,0.055,-0.281,0.017,0.015
