,SPUS Value,SPUS Momentum,SPUS Quality,SPUS Low Beta,SPUS Ptf,SPUS Bench
const,0.555,0.527,0.886,0.368,0.841,0.841
Mkt-RF,0.0,0.0,0.0,0.0,0.0,0.0
SMB,0.645,0.081,0.624,0.0,0.716,0.0
HML,0.003,0.615,0.784,0.479,0.079,0.532
Mom   ,0.0,0.0,0.274,0.0,0.621,0.42
